User_ID,Age,Gender,Caloric Goal (kcal),Dietary Preferences,Allergies,Meal Plan,Calories Per Meal,Macronutrients,Recipes
45,30,Female,2480,Vegetarian,Nuts,Breakfast,492,High Protein,Grilled Chicken Salad
46,38,Female,1987,Vegetarian,Dairy,Breakfast,454,High Protein,Quinoa Bowl
47,57,Female,2638,None,None,Breakfast,419,Balanced,Vegan Smoothie
48,41,Female,2541,Vegan,Dairy,Breakfast,515,Balanced,Vegan Smoothie
49,48,Male,2808,Gluten-Free,None,Snacks,704,High Fat,Vegan Smoothie
50,63,Male,2745,Gluten-Free,Shellfish,Dinner,595,High Protein,Quinoa Bowl
51,53,Male,2953,Vegetarian,Nuts,Dinner,637,Balanced,Grilled Chicken Salad
52,59,Female,1677,Vegan,Shellfish,Lunch,624,High Protein,Vegan Smoothie
53,36,Male,3436,None,Dairy,Snacks,740,High Protein,Grilled Chicken Salad
54,50,Male,1650,None,Dairy,Dinner,724,Low Carb,Steak and Vegetables
55,52,Male,1761,None,None,Snacks,765,Low Carb,Quinoa Bowl
56,40,Female,2998,Gluten-Free,None,Lunch,406,High Protein,Steak and Vegetables
57,23,Female,1662,Vegetarian,Shellfish,Dinner,794,High Protein,Vegan Smoothie
58,61,Female,3412,None,Nuts,Snacks,490,High Fat,Vegan Smoothie
59,43,Female,2816,Vegetarian,Dairy,Dinner,472,Low Carb,Steak and Vegetables
60,18,Female,3124,Gluten-Free,Shellfish,Breakfast,790,High Protein,Grilled Chicken Salad
61,29,Female,3340,Vegan,Shellfish,Snacks,306,High Protein,Grilled Chicken Salad
62,27,Female,3166,None,None,Snacks,573,Balanced,Steak and Vegetables
63,43,Male,1923,Vegetarian,Shellfish,Lunch,772,Low Carb,Steak and Vegetables
64,44,Female,2199,Gluten-Free,None,Snacks,331,High Fat,Vegan Smoothie
65,54,Female,1534,Gluten-Free,Nuts,Lunch,620,High Fat,Vegan Smoothie
66,58,Female,1667,Vegetarian,Dairy,Lunch,409,Low Carb,Grilled Chicken Salad
67,57,Male,1740,Vegetarian,Shellfish,Snacks,490,Low Carb,Grilled Chicken Salad
68,44,Male,2198,Vegetarian,Shellfish,Lunch,309,Balanced,Quinoa Bowl
69,18,Male,3423,Gluten-Free,Shellfish,Snacks,553,Low Carb,Steak and Vegetables
70,31,Male,2692,Vegan,Nuts,Lunch,779,Low Carb,Steak and Vegetables
71,54,Male,1554,None,Shellfish,Dinner,308,Low Carb,Steak and Vegetables
72,31,Male,3168,Vegetarian,Nuts,Breakfast,767,High Fat,Steak and Vegetables
73,49,Female,2588,Gluten-Free,Dairy,Dinner,708,High Protein,Steak and Vegetables
74,49,Female,2426,None,Dairy,Dinner,775,Balanced,Steak and Vegetables
75,36,Female,2071,Gluten-Free,Nuts,Dinner,610,High Fat,Vegan Smoothie
76,25,Female,3206,Gluten-Free,Dairy,Breakfast,699,High Protein,Grilled Chicken Salad
77,52,Male,2532,Vegetarian,Shellfish,Snacks,391,Low Carb,Steak and Vegetables
78,31,Male,2358,Vegetarian,None,Lunch,703,Balanced,Steak and Vegetables
79,22,Female,1857,Vegetarian,Dairy,Snacks,425,High Protein,Grilled Chicken Salad
80,48,Female,1941,Vegetarian,Shellfish,Snacks,610,High Fat,Grilled Chicken Salad
81,49,Female,2411,Vegetarian,Shellfish,Snacks,646,Balanced,Vegan Smoothie
82,41,Female,1953,None,Dairy,Breakfast,581,High Fat,Grilled Chicken Salad
83,39,Male,2516,Vegan,Shellfish,Lunch,645,Low Carb,Vegan Smoothie
84,38,Male,2355,None,None,Lunch,773,Balanced,Quinoa Bowl
85,50,Male,2612,None,None,Breakfast,321,High Fat,Vegan Smoothie
86,32,Female,2813,Gluten-Free,None,Breakfast,401,Low Carb,Grilled Chicken Salad
87,32,Female,2122,None,Nuts,Snacks,306,Balanced,Quinoa Bowl
88,20,Male,3070,Vegetarian,Shellfish,Lunch,495,Low Carb,Grilled Chicken Salad
89,47,Female,2128,None,Dairy,Dinner,399,High Fat,Steak and Vegetables
90,58,Female,2992,Vegan,Shellfish,Lunch,735,High Fat,Vegan Smoothie
91,35,Female,3240,Vegetarian,None,Breakfast,676,Low Carb,Quinoa Bowl
92,58,Female,2177,Gluten-Free,None,Breakfast,707,Balanced,Steak and Vegetables
93,25,Male,2317,None,None,Dinner,466,High Fat,Quinoa Bowl
94,36,Male,3027,Gluten-Free,Shellfish,Dinner,713,High Protein,Vegan Smoothie
95,44,Male,3129,Vegan,Shellfish,Lunch,464,Low Carb,Quinoa Bowl
96,22,Female,2919,Gluten-Free,Shellfish,Lunch,336,High Fat,Vegan Smoothie
97,62,Female,1596,Vegan,Nuts,Lunch,692,High Fat,Steak and Vegetables
98,43,Male,1913,None,None,Snacks,386,Low Carb,Steak and Vegetables
99,31,Female,1671,None,Dairy,Lunch,520,Low Carb,Steak and Vegetables
100,58,Male,2226,Vegetarian,None,Lunch,480,High Protein,Quinoa Bowl
101,18,Male,3025,None,None,Lunch,537,Low Carb,Grilled Chicken Salad
102,49,Male,2228,Vegetarian,Nuts,Dinner,682,High Protein,Quinoa Bowl
103,44,Female,2617,Vegetarian,None,Lunch,470,Low Carb,Vegan Smoothie
104,35,Female,3259,None,None,Dinner,496,Balanced,Quinoa Bowl
105,35,Male,2745,Vegan,Nuts,Breakfast,396,Balanced,Vegan Smoothie
106,58,Female,2386,Vegan,Nuts,Snacks,659,Low Carb,Steak and Vegetables
107,60,Female,3415,Vegan,Shellfish,Dinner,398,High Fat,Vegan Smoothie
108,28,Male,2231,None,Nuts,Lunch,632,High Fat,Grilled Chicken Salad
109,23,Female,3411,Vegetarian,Dairy,Dinner,514,Low Carb,Vegan Smoothie
110,46,Male,2013,Vegan,None,Lunch,666,Balanced,Vegan Smoothie
111,53,Male,2981,Gluten-Free,Shellfish,Snacks,604,High Protein,Vegan Smoothie
112,22,Male,1855,Gluten-Free,Dairy,Snacks,709,High Fat,Steak and Vegetables
113,64,Male,3300,None,None,Dinner,333,High Protein,Vegan Smoothie
114,51,Male,3106,Vegan,Nuts,Snacks,473,Low Carb,Steak and Vegetables
115,32,Female,2774,Vegan,Shellfish,Snacks,785,High Protein,Steak and Vegetables
116,26,Male,2279,Vegan,Dairy,Dinner,518,High Protein,Grilled Chicken Salad
117,50,Male,2429,None,Nuts,Snacks,737,Low Carb,Grilled Chicken Salad
118,34,Male,2346,Vegetarian,Shellfish,Lunch,337,Low Carb,Quinoa Bowl
119,54,Female,2700,Vegan,Nuts,Dinner,418,High Protein,Quinoa Bowl
120,28,Female,2190,Gluten-Free,Nuts,Snacks,413,Balanced,Steak and Vegetables
121,59,Male,2919,None,Shellfish,Lunch,436,High Protein,Steak and Vegetables
122,55,Male,1867,Vegan,Shellfish,Snacks,361,High Fat,Grilled Chicken Salad
123,58,Female,2137,Vegetarian,Nuts,Lunch,669,Balanced,Grilled Chicken Salad
124,47,Male,1505,Vegetarian,Shellfish,Breakfast,357,High Protein,Quinoa Bowl
125,30,Male,2549,None,Dairy,Lunch,488,High Fat,Vegan Smoothie
126,28,Female,1952,None,Nuts,Breakfast,636,Balanced,Grilled Chicken Salad
127,24,Female,1548,Vegan,Nuts,Breakfast,420,High Fat,Quinoa Bowl
128,59,Female,3470,Vegan,Nuts,Dinner,786,Low Carb,Quinoa Bowl
129,62,Female,1829,None,None,Breakfast,577,High Protein,Steak and Vegetables
130,38,Male,2096,Vegan,None,Breakfast,697,Low Carb,Quinoa Bowl
131,24,Female,3255,None,Dairy,Lunch,503,Balanced,Grilled Chicken Salad
132,39,Male,2948,Gluten-Free,Shellfish,Snacks,508,High Fat,Steak and Vegetables
133,49,Male,3302,None,Nuts,Snacks,696,High Fat,Quinoa Bowl
134,21,Female,2117,Vegetarian,Shellfish,Breakfast,597,Low Carb,Steak and Vegetables
135,32,Female,1802,None,Nuts,Dinner,325,Low Carb,Grilled Chicken Salad
136,56,Male,2921,Vegetarian,Dairy,Dinner,389,Balanced,Grilled Chicken Salad
137,63,Male,3307,Vegan,Shellfish,Snacks,732,Balanced,Quinoa Bowl
138,38,Female,2823,Vegan,Dairy,Snacks,588,High Protein,Vegan Smoothie
139,54,Male,3349,Gluten-Free,Shellfish,Dinner,322,Balanced,Vegan Smoothie
140,58,Female,2634,Vegan,None,Dinner,347,Balanced,Grilled Chicken Salad
141,58,Female,2544,Vegetarian,Shellfish,Dinner,450,Balanced,Vegan Smoothie
142,55,Male,2153,None,None,Breakfast,326,Balanced,Steak and Vegetables
143,58,Female,2727,None,Dairy,Breakfast,762,Low Carb,Vegan Smoothie
144,45,Male,3061,Gluten-Free,Nuts,Lunch,569,Low Carb,Steak and Vegetables
145,60,Female,2764,Gluten-Free,Shellfish,Dinner,662,High Fat,Quinoa Bowl
146,23,Male,1956,Vegan,Nuts,Dinner,558,Balanced,Vegan Smoothie
147,19,Male,2654,None,Nuts,Breakfast,455,Low Carb,Quinoa Bowl
148,48,Male,2316,Vegetarian,Shellfish,Snacks,390,High Protein,Vegan Smoothie
149,44,Female,1796,Gluten-Free,Nuts,Snacks,682,High Fat,Grilled Chicken Salad
150,26,Male,1518,Vegan,Shellfish,Breakfast,664,Low Carb,Vegan Smoothie
151,18,Female,2898,Vegetarian,None,Lunch,468,Balanced,Quinoa Bowl
152,32,Female,1639,None,Nuts,Snacks,531,Balanced,Quinoa Bowl
153,40,Female,2066,Gluten-Free,Dairy,Dinner,609,High Fat,Vegan Smoothie
154,34,Male,1857,Vegetarian,Nuts,Dinner,743,Low Carb,Grilled Chicken Salad
155,24,Female,3037,None,None,Breakfast,304,High Fat,Grilled Chicken Salad
156,57,Male,2295,Gluten-Free,Nuts,Lunch,685,High Protein,Grilled Chicken Salad
157,20,Male,2181,Vegetarian,Nuts,Snacks,594,High Fat,Steak and Vegetables
158,51,Male,2972,Vegetarian,None,Snacks,438,High Fat,Grilled Chicken Salad
159,36,Male,3320,Vegan,None,Snacks,598,High Protein,Grilled Chicken Salad
160,47,Female,3294,None,None,Lunch,323,Balanced,Steak and Vegetables
161,27,Male,3122,Vegan,Shellfish,Snacks,522,High Protein,Steak and Vegetables
162,59,Female,3171,Vegan,Shellfish,Dinner,444,Balanced,Vegan Smoothie
163,56,Female,2345,Gluten-Free,Nuts,Lunch,512,Balanced,Grilled Chicken Salad
164,64,Female,2167,Vegan,Dairy,Breakfast,336,High Protein,Steak and Vegetables
165,35,Male,2949,Vegan,Dairy,Lunch,545,Balanced,Vegan Smoothie
166,40,Male,1968,Vegetarian,Shellfish,Snacks,305,Low Carb,Grilled Chicken Salad
167,40,Female,2389,None,None,Dinner,315,Low Carb,Steak and Vegetables
168,21,Male,2398,Vegan,Dairy,Snacks,459,High Fat,Quinoa Bowl
169,59,Male,3095,Vegetarian,None,Breakfast,531,Low Carb,Quinoa Bowl
170,52,Male,2377,Vegetarian,Dairy,Lunch,497,High Fat,Quinoa Bowl
171,26,Female,2830,Vegetarian,Nuts,Dinner,513,Low Carb,Steak and Vegetables
172,28,Male,2729,Vegan,Dairy,Dinner,502,Low Carb,Steak and Vegetables
173,18,Male,1623,None,Shellfish,Breakfast,656,Low Carb,Grilled Chicken Salad
174,27,Female,2670,Gluten-Free,Shellfish,Snacks,499,Low Carb,Vegan Smoothie
175,64,Female,2783,Gluten-Free,Dairy,Lunch,658,Balanced,Quinoa Bowl
176,48,Male,3378,Vegetarian,Nuts,Snacks,755,High Fat,Vegan Smoothie
177,31,Female,1634,None,Shellfish,Breakfast,509,High Fat,Steak and Vegetables
178,45,Female,1540,None,Dairy,Lunch,678,Balanced,Vegan Smoothie
179,64,Female,2411,Vegetarian,None,Breakfast,358,Low Carb,Steak and Vegetables
180,53,Male,3415,Vegan,None,Breakfast,770,High Protein,Quinoa Bowl
181,41,Female,2844,Gluten-Free,Dairy,Snacks,619,High Protein,Grilled Chicken Salad
182,45,Male,2192,Vegan,None,Breakfast,754,High Protein,Quinoa Bowl
183,21,Female,1682,Vegan,None,Lunch,592,High Fat,Steak and Vegetables
184,31,Female,2543,Vegetarian,Nuts,Dinner,529,Balanced,Quinoa Bowl
185,22,Male,3381,None,Shellfish,Lunch,665,High Protein,Steak and Vegetables
186,49,Female,3151,Vegan,Shellfish,Lunch,516,Low Carb,Vegan Smoothie
187,34,Female,2399,None,Nuts,Breakfast,712,High Fat,Grilled Chicken Salad
188,51,Female,2048,Vegetarian,Shellfish,Snacks,478,High Protein,Quinoa Bowl
189,54,Male,3419,None,None,Lunch,533,High Fat,Vegan Smoothie
190,43,Female,1837,Vegetarian,Dairy,Dinner,678,Balanced,Steak and Vegetables
191,48,Female,3244,Gluten-Free,Nuts,Lunch,487,High Protein,Grilled Chicken Salad
192,45,Female,1777,Gluten-Free,Shellfish,Breakfast,378,High Protein,Quinoa Bowl
193,45,Male,3335,None,Dairy,Breakfast,722,Low Carb,Grilled Chicken Salad
194,46,Male,2887,Gluten-Free,Shellfish,Breakfast,467,High Fat,Vegan Smoothie
195,53,Male,2109,Vegetarian,Nuts,Breakfast,681,High Protein,Grilled Chicken Salad
196,43,Male,1882,None,None,Snacks,363,Low Carb,Grilled Chicken Salad
197,39,Male,3096,Vegetarian,Shellfish,Lunch,662,Balanced,Quinoa Bowl
198,52,Male,2370,None,Nuts,Lunch,750,High Protein,Vegan Smoothie
199,45,Male,3162,Gluten-Free,Dairy,Lunch,406,Balanced,Grilled Chicken Salad
200,61,Male,3269,Vegan,Shellfish,Lunch,490,Balanced,Vegan Smoothie
201,39,Female,3363,Vegetarian,Shellfish,Lunch,608,Balanced,Steak and Vegetables
202,52,Female,3081,Vegan,None,Dinner,666,Low Carb,Grilled Chicken Salad
203,35,Male,1781,Vegetarian,Nuts,Breakfast,470,High Protein,Vegan Smoothie
204,22,Male,3422,Vegetarian,None,Snacks,350,Balanced,Quinoa Bowl
205,46,Male,3380,Gluten-Free,Dairy,Lunch,486,Balanced,Steak and Vegetables
206,28,Female,3218,Vegan,Dairy,Lunch,318,High Protein,Grilled Chicken Salad
207,41,Female,3200,None,Shellfish,Dinner,698,Balanced,Steak and Vegetables
208,55,Male,3082,Gluten-Free,Dairy,Snacks,462,Low Carb,Vegan Smoothie
209,62,Male,1547,None,None,Dinner,501,High Fat,Grilled Chicken Salad
210,61,Female,1919,None,Shellfish,Breakfast,633,High Fat,Grilled Chicken Salad
211,42,Male,2026,None,None,Snacks,520,Balanced,Quinoa Bowl
212,33,Male,2402,None,Nuts,Dinner,496,High Protein,Quinoa Bowl
213,37,Male,2170,None,Dairy,Breakfast,446,High Protein,Vegan Smoothie
214,30,Female,2968,Gluten-Free,None,Dinner,409,High Protein,Grilled Chicken Salad
215,52,Female,2697,Gluten-Free,Shellfish,Dinner,619,High Fat,Steak and Vegetables
216,29,Male,2538,Vegan,None,Snacks,522,Balanced,Quinoa Bowl
217,21,Female,2769,Vegetarian,Shellfish,Dinner,519,High Protein,Quinoa Bowl
218,53,Female,2408,Vegetarian,Shellfish,Snacks,631,Balanced,Steak and Vegetables
219,47,Female,1649,Vegan,None,Lunch,661,Low Carb,Vegan Smoothie
220,46,Male,2445,None,Nuts,Dinner,490,High Fat,Vegan Smoothie
221,35,Female,2703,None,Nuts,Lunch,721,Balanced,Grilled Chicken Salad
222,58,Female,3475,Vegan,Dairy,Breakfast,535,Low Carb,Quinoa Bowl
223,46,Female,2695,Gluten-Free,Dairy,Dinner,427,High Fat,Grilled Chicken Salad
224,26,Female,2354,Gluten-Free,None,Lunch,352,High Protein,Vegan Smoothie
225,27,Female,3486,Vegetarian,Dairy,Breakfast,738,Low Carb,Grilled Chicken Salad
226,27,Male,2287,Vegan,None,Breakfast,399,High Fat,Steak and Vegetables
227,25,Male,3118,None,None,Snacks,489,Balanced,Quinoa Bowl
228,36,Female,3337,Vegetarian,None,Lunch,318,High Fat,Grilled Chicken Salad
229,61,Female,1803,Vegan,Dairy,Breakfast,393,High Fat,Quinoa Bowl
230,61,Male,3193,None,Shellfish,Lunch,435,Low Carb,Grilled Chicken Salad
231,51,Male,1754,Vegan,None,Dinner,458,Low Carb,Grilled Chicken Salad
232,20,Female,1797,Gluten-Free,None,Snacks,396,High Protein,Grilled Chicken Salad
233,40,Female,3259,Vegan,Nuts,Breakfast,539,Low Carb,Vegan Smoothie
234,64,Male,1540,Vegan,Nuts,Snacks,301,Balanced,Grilled Chicken Salad
235,19,Male,1602,Gluten-Free,None,Lunch,564,Low Carb,Steak and Vegetables
236,63,Male,2553,Vegan,Dairy,Lunch,529,Balanced,Vegan Smoothie
237,32,Male,2648,Vegan,Dairy,Breakfast,658,Balanced,Grilled Chicken Salad
238,52,Female,2035,Vegetarian,Nuts,Snacks,429,High Fat,Vegan Smoothie
239,24,Female,2112,Vegetarian,Nuts,Lunch,453,Low Carb,Quinoa Bowl
240,52,Female,3431,Vegan,None,Dinner,397,Balanced,Steak and Vegetables
241,52,Female,1799,Vegetarian,Dairy,Dinner,778,High Fat,Grilled Chicken Salad
242,22,Male,1808,None,Nuts,Lunch,513,High Fat,Quinoa Bowl
243,36,Male,2668,Vegan,Dairy,Lunch,440,Balanced,Quinoa Bowl
244,48,Male,2724,Vegetarian,Shellfish,Breakfast,483,Low Carb,Steak and Vegetables
245,19,Female,2090,Vegan,Nuts,Dinner,480,High Protein,Steak and Vegetables
246,51,Male,2932,Vegan,Dairy,Dinner,509,Balanced,Steak and Vegetables
247,61,Female,2023,None,Nuts,Lunch,710,High Protein,Steak and Vegetables
248,63,Male,2345,Vegetarian,Shellfish,Lunch,423,Low Carb,Steak and Vegetables
249,30,Male,1583,Vegetarian,None,Lunch,499,High Protein,Quinoa Bowl
250,52,Male,3081,Vegan,Dairy,Lunch,593,High Fat,Grilled Chicken Salad
251,51,Male,3084,None,Dairy,Snacks,726,High Protein,Grilled Chicken Salad
252,31,Male,1800,None,Shellfish,Snacks,600,High Protein,Vegan Smoothie
253,52,Male,3406,None,Dairy,Breakfast,793,Balanced,Quinoa Bowl
254,54,Male,2432,Vegan,Dairy,Lunch,341,High Protein,Steak and Vegetables
255,43,Female,2769,None,None,Snacks,600,Balanced,Steak and Vegetables
256,61,Male,3062,Vegetarian,Dairy,Lunch,543,Balanced,Quinoa Bowl
257,59,Male,1785,None,Dairy,Dinner,300,Balanced,Steak and Vegetables
258,24,Female,1908,Gluten-Free,Nuts,Lunch,740,Balanced,Vegan Smoothie
259,53,Female,1987,None,Nuts,Dinner,590,Low Carb,Steak and Vegetables
260,56,Male,1591,Vegetarian,Shellfish,Lunch,483,High Protein,Steak and Vegetables
261,38,Male,3027,Gluten-Free,Dairy,Breakfast,441,Balanced,Vegan Smoothie
262,32,Female,1836,Vegetarian,None,Dinner,306,High Fat,Grilled Chicken Salad
263,30,Female,2549,Gluten-Free,Shellfish,Lunch,493,Balanced,Quinoa Bowl
264,37,Female,3490,Vegetarian,None,Lunch,370,Balanced,Grilled Chicken Salad
265,51,Female,1546,Vegetarian,Dairy,Lunch,562,High Protein,Vegan Smoothie
266,43,Female,2306,None,Shellfish,Lunch,304,High Fat,Quinoa Bowl
267,21,Female,2095,None,Nuts,Dinner,734,High Fat,Vegan Smoothie
268,51,Female,1990,Vegetarian,Nuts,Lunch,363,Low Carb,Steak and Vegetables
269,37,Male,1891,Gluten-Free,Nuts,Snacks,350,High Protein,Grilled Chicken Salad
270,36,Male,2130,Vegetarian,None,Lunch,799,High Fat,Steak and Vegetables
271,54,Female,2935,None,Dairy,Snacks,474,Balanced,Steak and Vegetables
272,48,Female,2666,Gluten-Free,None,Snacks,595,High Protein,Vegan Smoothie
273,36,Female,1964,None,None,Lunch,371,High Fat,Vegan Smoothie
274,60,Male,1846,Vegan,Nuts,Dinner,514,High Protein,Grilled Chicken Salad
275,19,Male,2165,Gluten-Free,None,Breakfast,545,High Protein,Steak and Vegetables
276,43,Female,2320,Gluten-Free,Shellfish,Breakfast,458,Low Carb,Steak and Vegetables
277,39,Male,1733,Vegetarian,Shellfish,Snacks,638,Balanced,Grilled Chicken Salad
278,34,Female,2154,None,None,Snacks,357,Low Carb,Vegan Smoothie
279,41,Male,2962,Gluten-Free,Shellfish,Lunch,775,High Fat,Grilled Chicken Salad
280,29,Male,3432,None,Dairy,Lunch,324,High Fat,Grilled Chicken Salad
281,39,Male,2514,Vegetarian,Nuts,Breakfast,460,Low Carb,Quinoa Bowl
282,57,Female,2543,Vegetarian,None,Breakfast,337,High Protein,Quinoa Bowl
283,37,Male,1708,Gluten-Free,Dairy,Breakfast,330,High Fat,Quinoa Bowl
284,20,Male,1588,Gluten-Free,None,Snacks,562,Balanced,Steak and Vegetables
285,32,Male,2634,Vegetarian,Dairy,Snacks,485,Balanced,Steak and Vegetables
286,60,Female,1584,Gluten-Free,Nuts,Breakfast,713,Balanced,Quinoa Bowl
287,31,Male,3043,Vegan,Dairy,Dinner,573,High Fat,Vegan Smoothie
288,27,Female,2796,Vegan,None,Lunch,567,High Fat,Grilled Chicken Salad
289,37,Female,2111,Vegan,Dairy,Breakfast,356,Balanced,Steak and Vegetables
290,40,Female,1789,Vegan,None,Dinner,355,Low Carb,Quinoa Bowl
291,26,Male,2515,Vegetarian,None,Dinner,687,High Fat,Quinoa Bowl
292,56,Male,2887,Vegan,Shellfish,Dinner,580,Balanced,Quinoa Bowl
293,27,Male,3339,Gluten-Free,Shellfish,Breakfast,708,Balanced,Grilled Chicken Salad
294,57,Female,3159,Vegetarian,Dairy,Snacks,489,High Fat,Vegan Smoothie
295,20,Female,1893,Vegetarian,Shellfish,Dinner,796,Low Carb,Steak and Vegetables
296,29,Female,2746,None,Shellfish,Lunch,505,Balanced,Grilled Chicken Salad
297,37,Male,3241,None,None,Lunch,556,High Fat,Vegan Smoothie
298,42,Female,3494,Vegetarian,Nuts,Dinner,634,Balanced,Grilled Chicken Salad
299,42,Male,1574,Vegan,Shellfish,Breakfast,591,High Protein,Quinoa Bowl
300,45,Female,2808,Vegan,Dairy,Snacks,633,Balanced,Grilled Chicken Salad
301,33,Female,3435,Vegetarian,None,Breakfast,594,High Protein,Vegan Smoothie
302,57,Female,3008,Gluten-Free,Dairy,Snacks,309,Low Carb,Vegan Smoothie
303,38,Male,2926,Vegan,Nuts,Breakfast,694,High Protein,Vegan Smoothie
304,24,Male,2609,Vegan,Shellfish,Lunch,736,Low Carb,Grilled Chicken Salad
305,29,Male,2931,Vegan,Dairy,Dinner,555,Balanced,Steak and Vegetables
306,59,Female,3462,Vegan,Dairy,Snacks,571,High Protein,Steak and Vegetables
307,52,Female,3347,Vegan,None,Lunch,797,High Protein,Vegan Smoothie
308,35,Male,3399,None,Dairy,Lunch,610,High Protein,Grilled Chicken Salad
309,35,Male,1603,Vegetarian,Shellfish,Snacks,301,Low Carb,Vegan Smoothie
310,28,Female,2050,None,Dairy,Dinner,523,High Fat,Vegan Smoothie
311,49,Male,2916,Vegan,None,Breakfast,559,High Protein,Steak and Vegetables
312,50,Male,2872,Vegan,Shellfish,Breakfast,592,Balanced,Vegan Smoothie
313,64,Male,2315,Gluten-Free,Shellfish,Lunch,419,Balanced,Grilled Chicken Salad
314,62,Female,3196,Gluten-Free,Nuts,Snacks,447,High Fat,Vegan Smoothie
315,50,Male,1797,Vegetarian,Dairy,Breakfast,701,High Fat,Steak and Vegetables
316,32,Female,1974,None,Nuts,Snacks,500,High Protein,Quinoa Bowl
317,35,Female,2359,Gluten-Free,Nuts,Snacks,489,Balanced,Vegan Smoothie
318,39,Female,3069,Vegetarian,None,Breakfast,411,Low Carb,Vegan Smoothie
319,23,Male,1928,None,Dairy,Snacks,665,High Protein,Grilled Chicken Salad
320,39,Male,1663,None,None,Snacks,465,High Protein,Vegan Smoothie
321,23,Male,2555,Vegan,Nuts,Snacks,796,Balanced,Steak and Vegetables
322,32,Female,1581,Gluten-Free,None,Lunch,351,Low Carb,Grilled Chicken Salad
323,55,Female,1653,Vegan,Dairy,Snacks,445,High Protein,Quinoa Bowl
324,47,Female,2091,Vegan,None,Dinner,677,High Protein,Quinoa Bowl
